Gene1	Gene2	G1_cor	G1_pVal	G0_cor	G0_pVal	zScoreDiff	pValDiff	pValDiff_adj	Classes	AIC	TPrate
RPS27	RPL31	-0.135714317795271	0.000682914987239824	0.354048919672207	0	9.92190985651603	3.34297331500603e-23	3.34297331500603e-23	-/+	13681.750344279	0.993912562257886
RPL39	RPL31	0.122831002488162	0.00213101464748	0.635217588122839	0	12.2727938568524	1.26801151913366e-34	1.26801151913366e-34	+/+	15916.9929489474	0.992805755395683
RPS29	RPL31	0.0976572517522828	0.0147500909406273	0.575806936873406	0	10.93198247157	8.10579146910591e-28	8.10579146910591e-28	+/+	9480.69464710696	0.992252351964582
RPL21	RPL31	0.129838465944191	0.00116213492326422	0.56576508950164	0	10.0017025806428	1.49799105703373e-23	1.49799105703373e-23	+/+	9702.19591624674	0.987825124515772
ARPC3	RPL31	0.0559506168067084	0.163072012814961	-0.545066456369882	0	-13.0695644238708	4.91461258642254e-39	4.91461258642254e-39	0/-	8657.74429019812	0.972329828444936
RPL36	RPL31	0.0221448669465464	0.581158857203106	0.681860179468254	0	15.8718880984175	9.92108829701315e-57	9.92108829701315e-57	0/+	10141.4591906064	0.968456004427227
RPS28	RPL31	0.234773755531857	3.00594216184891e-09	0.754164803092801	0	14.5572583763623	5.25223227666428e-48	5.25223227666428e-48	+/+	13154.6914878333	0.966242390702822
RPL38	RPL31	-0.160568240745116	5.67626881364802e-05	0.331748512244628	0	9.92463951159028	3.25275963540697e-23	3.25275963540697e-23	-/+	6561.75581116808	0.962368566685114
OAZ1	RPL31	-0.0144830637338554	0.718256629608782	-0.391784141951506	0	-7.82245105108113	5.18046010892711e-15	5.18046010892711e-15	0/-	9658.3368589577	0.947426674045379
GNG5	RPL31	0.185524948816897	3.13260595374842e-06	-0.327223425087702	0	-10.3291066555383	5.20430002999643e-25	5.20430002999643e-25	+/-	4400.13826889222	0.945213060320974
LILRA5	RPL31	0.234114913185515	3.33594396551007e-09	-0.393042423663034	0	-12.8068846748221	1.50038232164706e-37	1.50038232164706e-37	+/-	4917.8298834408	0.939679026009961
AGTRAP	RPL31	-0.0988110586851723	0.0136094971614642	-0.496339496619573	0	-8.72100241319688	2.75749559641865e-18	2.75749559641865e-18	-/-	4329.27668262244	0.935251798561151
CD37	RPL31	0.0259618347458794	0.517752191586471	-0.474530793481922	0	-10.6122056130904	2.61502001027355e-26	2.61502001027355e-26	0/-	6797.09524575522	0.93469839513005
RPL34	RPL31	0.270610096067486	6.44595488097366e-12	0.720662997782678	0	12.3675890322717	3.91393863856021e-35	3.91393863856021e-35	+/+	13837.2546070443	0.933591588267847
TALDO1	RPL31	-0.0121090746485058	0.762921793175296	-0.3657993428495	0	-7.27473954865932	3.47089449684258e-13	3.47089449684258e-13	0/-	7448.86388409114	0.931931377974543
HMGN2	RPL31	-0.0890248035124039	0.0262828233062313	0.240098982239011	0	6.54394759996815	5.99157981803871e-11	5.99157981803871e-11	-/+	3668.15678690464	0.924183729939126
SNHG5	RPL31	0.528954057764985	0	0.741159055190343	0	7.13567639113452	9.6312360807107e-13	9.6312360807107e-13	+/+	3687.08438984218	0.922523519645822
RPL35	RPL31	-0.00650342097647267	0.871305146202686	0.523435569442113	0	11.5071019821561	1.21492755671627e-30	1.21492755671627e-30	0/+	8575.49212745109	0.918096292197012
EIF3K	RPL31	0.328939513430303	0	0.593985258964579	0	6.70106717000109	2.0690290063503e-11	2.0690290063503e-11	+/+	4600.7455972605	0.916989485334809
CSNK2B	RPL31	0.236325531698374	2.34906760709919e-09	-0.376419758187138	0	-12.470592866136	1.08019372160877e-35	1.08019372160877e-35	+/-	2747.8052206745	0.907581627006087
RPS21	RPL31	0.0579902209366025	0.148249010358036	0.74030912095657	0	17.49100722256	1.67765819617369e-68	1.67765819617369e-68	0/+	9753.14549615908	0.906474820143885
FKBP1A	RPL31	-0.0557562638697605	0.164540695034515	-0.577607144433827	0	-11.810396243096	3.4493185663392e-32	3.4493185663392e-32	0/-	6000.1312607481	0.898173768677366
SSR4	RPL31	-0.130105018458471	0.00113496471717278	0.259718698018143	0	7.76823215053679	7.95890936363969e-15	7.95890936363969e-15	-/+	1280.62313820784	0.87382401770891
LCP1	RPL31	-0.0298301520839119	0.457342586990067	-0.367642977007787	0	-6.96923731923099	3.18663763313674e-12	3.18663763313674e-12	0/-	6019.27811150218	0.87382401770891
RPL41	RPL31	0.386900134097844	0	0.69707178726019	0	8.88021973604341	6.67284145383209e-19	6.67284145383209e-19	+/+	14521.3878103793	0.867183176535695
SLC25A3	RPL31	-0.0883028475788335	0.0275302152488002	0.293282226783968	0	7.65138445615251	1.98826918380427e-14	1.98826918380427e-14	-/+	2198.16621971745	0.867183176535695
ARPC5	RPL31	-0.392943618803528	0	-0.691154002169226	0	-8.51698427273789	1.63761728280005e-17	1.63761728280005e-17	-/-	4480.41877735914	0.866076369673492
TMBIM6	RPL31	-0.180518204874935	5.7882734632031e-06	-0.736806566410231	0	-14.9025545635365	3.17215519920581e-50	3.17215519920581e-50	-/-	5416.33651624541	0.864416159380188
COX4I1	RPL31	0.444951006645473	0	0.685799148557759	0	7.08161602868574	1.42482996440457e-12	1.42482996440457e-12	+/+	5807.50504893014	0.864416159380188
NOP10	RPL31	0.00986722627719049	0.805839359362255	-0.596643328787487	0	-13.6657497611403	1.62620126618684e-42	1.62620126618684e-42	0/-	3028.78833080607	0.840066408411732
HNRNPA2B1	RPL31	-0.26636683593671	1.40278899607438e-11	-0.5616054357301	0	-7.09399249149748	1.30297203131146e-12	1.30297203131146e-12	-/-	3886.17338442694	0.819037078029884
